Date,Minyak Goreng,Minyak Goreng Curah (kg),Minyak Goreng Kemasan Bermerk 1 (kg),Minyak Goreng Kemasan Bermerk 2 (kg)
2/1/2020,12500,12500,12000,13000
3/1/2020,12500,12500,12000,13000
6/1/2020,12500,12500,12000,13000
7/1/2020,12600,12500,12250,13000
10/1/2020,12750,12500,12750,13000
13/01/2020,12750,12500,12750,13000
14/01/2020,12750,12500,12750,13000
16/01/2020,12750,12500,12750,13000
17/01/2020,12750,12500,12750,13000
20/01/2020,12750,12500,12750,13000
21/01/2020,12750,12500,12750,13000
23/01/2020,12750,12500,12750,13000
24/01/2020,12750,12500,12750,13000
27/01/2020,12750,12750,12500,13000
28/01/2020,12750,12750,12500,13000
30/01/2020,12650,12500,12500,13000
31/01/2020,12600,12250,12500,13000
3/2/2020,12600,12250,12500,13000
4/2/2020,12600,12250,12500,13000
6/2/2020,12600,12250,12500,13000
7/2/2020,12600,12250,12500,13000
10/2/2020,12600,12250,12500,13000
11/2/2020,12600,12250,12500,13000
13/02/2020,12500,12000,12500,13000
14/02/2020,12500,12000,12500,13000
17/02/2020,12500,12000,12500,13000
18/02/2020,12500,12000,12500,13000
20/02/2020,12400,11750,12500,13000
21/02/2020,12400,11750,12500,13000
24/02/2020,12400,11750,12500,13000
25/02/2020,12400,11750,12500,13000
27/02/2020,12400,11750,12500,13000
28/02/2020,12400,11750,12500,13000
2/3/2020,12350,11500,12500,13000
3/3/2020,12350,11500,12500,13000
5/3/2020,12250,11250,12500,13000
6/3/2020,12250,11250,12500,13000
9/3/2020,12250,11250,12500,13000
10/3/2020,12250,11250,12500,13000
12/3/2020,12250,11250,12500,13000
13/03/2020,12250,11250,12500,13000
16/03/2020,12250,11250,12500,13000
17/03/2020,12250,11250,12500,13000
19/03/2020,12250,11250,12500,13000
20/03/2020,12250,11250,12500,13000
23/03/2020,11900,10750,12000,13000
24/03/2020,11900,10750,12000,13000
26/03/2020,11900,10750,12000,13000
27/03/2020,11900,10750,12000,13000
30/03/2020,11900,10750,12000,13000
31/03/2020,11900,10750,12000,13000
2/4/2020,11900,10750,12000,13000
3/4/2020,11900,10750,12000,13000
6/4/2020,11900,10750,12000,13000
7/4/2020,11900,10750,12000,13000
9/4/2020,11900,10750,12000,13000
13/04/2020,11900,10750,12000,13000
14/04/2020,11900,10750,12000,13000
16/04/2020,12100,11250,12000,13000
17/04/2020,12100,11250,12000,13000
20/04/2020,12350,11500,12500,13000
21/04/2020,12400,11750,12500,13000
23/04/2020,12400,11750,12500,13000
24/04/2020,12400,11750,12500,13000
27/04/2020,12100,10750,12500,13000
28/04/2020,12100,10750,12500,13000
30/04/2020,12100,10750,12500,13000
4/5/2020,11900,10250,12500,13000
5/5/2020,11900,10250,12500,13000
8/5/2020,12000,10500,12500,13000
11/5/2020,12000,10500,12500,13000
12/5/2020,12000,10500,12500,13000
14/05/2020,12000,10500,12500,13000
15/05/2020,12000,10500,12500,13000
18/05/2020,12000,10500,12500,13000
19/05/2020,12000,10500,12500,13000
28/05/2020,12100,10750,12500,13000
29/05/2020,12100,10750,12500,13000
2/6/2020,11900,10250,12500,13000
4/6/2020,12000,10500,12500,13000
5/6/2020,12000,10500,12500,13000
8/6/2020,12000,10500,12500,13000
9/6/2020,12000,10500,12500,13000
11/6/2020,12100,10750,12500,13000
12/6/2020,12100,10750,12500,13000
15/06/2020,12100,10750,12500,13000
16/06/2020,12100,10750,12500,13000
18/06/2020,12100,10750,12500,13000
19/06/2020,12100,10750,12500,13000
22/06/2020,12100,10750,12500,13000
23/06/2020,12100,10750,12500,13000
25/06/2020,11900,10750,12250,12750
26/06/2020,11900,10750,12250,12750
29/06/2020,11900,10750,12250,12750
30/06/2020,11850,10500,12250,12750
2/7/2020,11850,10500,12250,12750
3/7/2020,11850,10500,12250,12750
6/7/2020,11850,10500,12250,12750
7/7/2020,11850,10500,12250,12750
10/7/2020,11850,10500,12250,12750
13/07/2020,12000,11000,12250,12750
14/07/2020,12000,11000,12250,12750
16/07/2020,12000,11000,12250,12750
17/07/2020,12000,11000,12250,12750
20/07/2020,12250,11750,12250,12750
21/07/2020,12250,11750,12250,12750
23/07/2020,12250,11750,12250,12750
24/07/2020,12250,11750,12250,12750
27/07/2020,12150,11250,12250,13000
28/07/2020,12150,11250,12250,13000
30/07/2020,12600,12250,12500,13000
3/8/2020,12600,12250,12500,13000
4/8/2020,12600,12250,12500,13000
6/8/2020,12600,12250,12500,13000
7/8/2020,12600,12250,12500,13000
10/8/2020,12600,12250,12500,13000
11/8/2020,12600,12250,12500,13000
13/08/2020,12600,12250,12500,13000
14/08/2020,12600,12250,12500,13000
18/08/2020,12600,12250,12500,13000
24/08/2020,12900,12250,13000,13500
25/08/2020,12900,12250,13000,13500
27/08/2020,12900,12250,13000,13500
28/08/2020,12900,12250,13000,13500
31/08/2020,12850,12000,13000,13500
1/9/2020,12850,12000,13000,13500
3/9/2020,12900,12250,13000,13500
4/9/2020,12900,12250,13000,13500
7/9/2020,12900,12250,13000,13500
8/9/2020,12900,12250,13000,13500
10/9/2020,13100,12750,13000,13500
11/9/2020,13100,12750,13000,13500
14/09/2020,13150,13000,13000,13500
15/09/2020,13150,13000,13000,13500
17/09/2020,13150,13000,13000,13500
18/09/2020,13150,13000,13000,13500
21/09/2020,13150,13000,13000,13500
22/09/2020,13250,13250,13000,13500
24/09/2020,13350,13500,13000,13500
25/09/2020,13350,13500,13000,13500
28/09/2020,13600,13750,13500,13500
29/09/2020,13600,13750,13500,13500
1/10/2020,13600,13750,13500,13500
2/10/2020,13600,13750,13500,13500
5/10/2020,13250,12750,13500,13500
6/10/2020,13350,13000,13500,13500
8/10/2020,13350,13000,13500,13500
9/10/2020,13350,13000,13500,13500
12/10/2020,13500,13500,13500,13500
13/10/2020,13500,13500,13500,13500
15/10/2020,13500,13500,13500,13500
16/10/2020,13500,13500,13500,13500
19/10/2020,13650,13750,13500,13750
20/10/2020,13650,13750,13500,13750
22/10/2020,13600,13500,13500,13750
23/10/2020,13600,13500,13500,13750
26/10/2020,13600,13500,13500,13750
27/10/2020,13600,13500,13500,13750
2/11/2020,13650,13750,13500,13750
3/11/2020,13650,13750,13500,13750
5/11/2020,13650,13750,13500,13750
6/11/2020,13650,13750,13500,13750
9/11/2020,13650,13750,13500,13750
10/11/2020,13650,13750,13500,13750
12/11/2020,13650,13750,13500,13750
13/11/2020,13650,13750,13500,13750
16/11/2020,13650,13750,13500,13750
17/11/2020,13650,13750,13500,13750
19/11/2020,13650,13750,13500,13750
20/11/2020,13650,13750,13500,13750
23/11/2020,13650,13750,13500,13750
24/11/2020,13650,13750,13500,13750
26/11/2020,13650,13750,13500,13750
27/11/2020,13650,13750,13500,13750
30/11/2020,13650,13750,13500,13750
1/12/2020,13650,13750,13500,13750
3/12/2020,13900,13750,14000,14000
4/12/2020,13900,13750,14000,14000
7/12/2020,13900,13750,14000,14000
8/12/2020,13900,13750,14000,14000
10/12/2020,13900,13750,14000,14000
11/12/2020,13900,13750,14000,14000
14/12/2020,13900,13750,14000,14000
15/12/2020,13900,13750,14000,14000
17/12/2020,13900,13750,14000,14000
18/12/2020,13900,13750,14000,14000
21/12/2020,13750,13750,13500,14000
22/12/2020,13750,13750,13500,14000
28/12/2020,13750,13750,13500,14000
29/12/2020,13750,13750,13500,14000
